Artist,Track,SpotifyID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Key_mode_Ratio,duration_ms,billboard_hit
DJ Clue / P. Diddy,Intro,0ZydISelFKscZqu7mS7CYT,0.679,0.0874,-21.821,0.924,0.625,0.0,0.405,0.704,129.775,6.0,63133,0
Helen Love,Bigbigkiss,7DOHjakVR489P3kzh6IbT5,0.325,0.933,-9.836,0.07,3.18e-06,0.0473,0.117,0.4,162.27,0.0,213400,0
Basic Channel,Q1.1 Edit,734mHJ9llh1ad4avW5cpr0,0.437,0.73,-23.314,0.0874,0.986,0.9,0.17,0.272,124.388,8.0,62867,0
Sue Foley,She Don't Belong To You,7FPK4WK6062K5Bj0d0an8Z,0.622,0.648,-6.119,0.0261,0.157,0.000293,0.344,0.573,105.1,7.0,224933,0
Ben Sidran,Blowin' In the Wind,6inF7w4VGnVqj7159bHC6F,0.488,0.189,-16.688,0.0322,0.865,0.193,0.111,0.201,134.923,5.0,308853,0
Casiotone For The Painfully Alone,White Jetta,2qxCjgaMDkVmMF2OQuRE0S,0.658,0.868,-9.848,0.0892,0.0468,0.075,0.0749,0.0389,90.057,0.0,197253,0
EPMD,Jane 5,2bHrc7cZ31oF1rOUekLlW5,0.773,0.528,-7.883,0.333,0.0164,0.000209,0.11,0.427,86.909,0.0,161293,0
Beherit,Suck My Blood,31EiUTYPx8tICukLDYb3xm,0.21,0.857,-5.798,0.0796,2.14e-05,0.0998,0.464,0.0978,149.739,2.0,266747,0
Architecture In Helsinki,Need To Shout,5zeEv72JgVCbcCJU6bGnsP,0.602,0.606,-10.224,0.101,0.319,0.00102,0.361,0.53,139.877,9.0,250267,0
Britney Spears,Someday (I Will Understand),61iJ9cAYgB5rJamvuChwEn,0.523,0.561,-9.444,0.0275,0.732,2.55e-05,0.126,0.176,135.972,0.0,216933,0
The Frequency,Own Me,2tiG6VME2Enk8hafwGWsGO,0.677,0.679,-10.939,0.0903,0.265,0.763,0.0735,0.889,76.845,0.0,284680,0
City High,Sista,7ig9CnZgDdzUvJY0vXj9mP,0.619,0.651,-8.394,0.0857,0.0551,0.0,0.0779,0.691,159.933,0.0,231360,0
Stanley Clarke,What If I Forget The Champagne,1q5xwM6BKybjNpqR7hAoAg,0.505,0.412,-12.808,0.0295,0.733,0.879,0.115,0.191,122.289,0.0,312333,0
Chroma Key,Salvation,12fGMDjr9oxSKWDrE6D1GL,0.541,0.423,-11.694,0.0277,0.468,0.464,0.167,0.217,120.034,0.0,160507,0
